단어명	영문약어명
용존산소량	DOX_QNT
우선권번호	PRRTY_NO
우점종면적	DSPCS_AREA
우측사진명	RGSD_PHOTO_NM
운반업체명	CRRG_BZENTY_NM
운송장번호	WYBL_NO
운영기관명	OPER_INST_NM
운영부서명	OPER_DEPT_NM
운영상태명	OPER_STTS_NM
운영아이디	OPER_ID
운영요일명	OPER_DOW_NM
운영주체명	OPER_MNBD_NM
운영체제명	OS_NM
원거래번호	ORGDL_NO
원경사진명	DSTNVW_PHOTO_NM
원도급자명	ORGCTR_NM
원동기번호	MTR_NO
원본글순서	ORGNL_WRTT_SEQ
원본파일명	ORGNL_FILE_NM
원소유자명	ORGOWN_NM
원승인일자	ORGAPR_YMD
월근무시간	MM_WORK_HR
월급여금액	MM_SLRY_AMT
월마감여부	MM_DDLN_YN
월상환금액	MM_RPMT_AMT
월소득금액	MM_EARN_AMT
월요일여부	MON_YN
웹공개여부	WEB_RLS_YN
웹사이트명	WSTE_NM
위반자료수	VLTN_DATA_CNT
위반항목수	VLTN_ARTCL_CNT
위성국문명	STLT_KRN_NM
위성영문명	STLT_ENG_NM
위원장여부	CHRPR_YN
위원회설명	CMT_EXPLN
위원회차수	CMT_CYCL
위임기관명	DLGT_INST_NM
위탁기관명	CNSGN_INST_NM
위탁수수료	CNSGN_FEE
위탁업체명	CNSGN_BZENTY_NM
위험물여부	DGROB_YN
유가증권명	MSCRT_NM
유리채취량	GLASS_PCKNG_QNT
유리채취수	GLASS_PCKNG_CNT
유사도여부	ANMP_YN
유속측선수	FVLC_SDTRCK_CNT
유원지비율	AMMP_RT
유입구번호	INLET_NO
유입원내용	INFCAU_CN
유전자원명	GRSC_NM
유통업체명	RTL_BZENTY_NM
유효자료수	VLD_DATA_CNT
유효저수량	VLD_IMPND_QNT
읍면동번호	EMD_NO
응답아이디	RSPNS_ID
응답자번호	RSPDNT_NO
의견부서명	OPNN_DEPT_NM
의견서내용	WROPN_CN
의견서번호	WROPN_NO
의견아이디	OPNN_ID
의뢰기관명	RQST_INST_NM
의뢰인주소	RQSR_ADDR
의료기관명	MDLCR_INST_NM
이관부서명	TRNSF_DEPT_NM
이동산소량	MVMN_OXYG_QNT
이동업체명	MVMN_BZENTY_NM
이력아이디	HSTRY_ID
이메일내용	EML_CN
이메일제목	EML_TTL
이메일주소	EML_ADDR
이미지내용	IMG_CN
이미지설명	IMG_EXPLN
이미지순서	IMG_SEQ
이미지여부	IMG_YN
이미지유무	IMG_EN
이벤트설명	SEVNT_EXPLN
이벤트여부	SEVNT_YN
이벤트제목	SEVNT_TTL
이슬점온도	DWPNT_TP
이용기관명	UTZTN_INST_NM
이용인원수	UTZTN_NOPE
이월차감량	CRFW_SBTR_QNT
이월총수량	CRFW_TOT_QTY
이의신청량	OBJC_APLY_QNT
이익잉여금	PRF_SRAMT
이자소득세	INT_INCTX
이주정착금	MV_RSTFND
이중화여부	DPLX_YN
이첩기관명	FRWD_INST_NM
이행배출량	IMPLT_EHQTY
이행인정량	IMPLT_RCG_QNT
이행할당량	IMPLT_QT
인계자상호	HVPRSN_CONM
인계자주소	HVPRSN_ADDR
인사말내용	GRTG_CN
인수수수료	ACPTN_FEE
인수아이디	ACPTN_ID
인수자상호	ACPTR_CONM
인수자주소	ACPTR_ADDR
인정배출량	RCG_EHQTY
인증기관명	CERT_INST_NM
인증등급명	CERT_GRD_NM
인증배출량	CERT_EHQTY
인증서내용	CRTF_CN
인증서번호	CRTF_NO
인증실적량	CERT_PRFMNC_QNT
인증아이디	CERT_ID
인증업체명	CERT_BZENTY_NM
인체영향명	HMBD_IMPCT_NM
인터넷망수	ITNT_NW_CNT
인허가번호	LCPMT_NO
인허가일자	LCPMT_YMD
일기도일자	WTHCT_YMD
일류부표고	OFLSCT_ALTD
일반관리비	GNRL_MNCO
일반수정명	GNRL_MDFCN_NM
일선관서명	FRLN_GVMNFC_NM
일요일여부	SUN_YN
일일강수량	DAILY_CLASS_QTY
일자규칙명	YMD_RUL_NM
일정등록수	SCHDL_REG_CNT
일정아이디	SCHDL_ID
일평균운량	DAY_AVG_CLDQ
임대인주소	LSR_ADDR
임무국문명	MSSN_KRN_NM
임무영문명	MSSN_ENG_NM
임시파일명	TMPR_FILE_NM
임용구분명	APNTMN_SE_NM
임원인원수	EXC_NOPE
입고총건수	WRHS_TNOCS
입금수수료	DPST_FEE
입금은행명	DPST_BANK_NM
입력시분초	INPT_HMS
입력아이디	INPT_ID
입력위치수	INPT_PSTN_CNT
입력파일명	INPT_FILE_NM
입수경로명	OBTN_PATH_NM
입수지역명	OBTN_RGN_NM
입찰공고명	BID_PBANC_NM
입찰장소명	BID_PLC_NM
자가매립량	ONSLF_RCLM_QNT
자격등급명	QLFC_GRD_NM
자격면허명	QLFC_LCNS_NM
자격증내용	CRTFCT_CN
자격증번호	CRTFCT_NO
자격증여부	CRTFCT_YN
자격코드명	QLFC_CD_NM
자금구분명	FNDS_SE_NM
자금용도명	FNDS_USG_NM
자료구분명	DATA_SE_NM
자료범주명	DATA_CTGRY_NM
자료생성월	DATA_CRT_MM
자료실내용	RPSTR_CN
자료아이디	DATA_ID
자료영문명	DATA_ENG_NM
자료유형명	DATA_TYPE_NM
자료점검명	DATA_CHCK_NM
자료처리수	DATA_PRCS_CNT
자문위원명	CNSTN_MBCMT_NM
자본잉여금	CPT_SRAMT
자부담금액	PHW_AMT
자산구분명	AST_SE_NM
자산분류명	AST_CLSF_NM
자산아이디	AST_ID
자체시설명	ONSLF_FCLT_NM
작성기관명	WRT_INST_NM
작성부서명	WRT_DEPT_NM
작성아이디	WRT_ID
작성자번호	WRTR_NO
작성자주소	WRTR_ADDR
작업구분명	JOB_SE_NM
작업그룹명	JOB_GROUP_NM
작업아이디	JOB_ID
작업파일명	JOB_FILE_NM
잔여개월수	RMND_MCNT
잔여실적량	RMND_PRFMNC_QNT
잡종국문명	CRHY_KRN_NM
잡종영문명	CRHY_ENG_NM
잡종지면적	MCLNAR_AREA
장비구분명	EQPMNT_SE_NM
장비규격명	EQPMNT_SPCFCT_NM
장비모델명	EQPMNT_MDL_NM
장비아이디	EQPMNT_ID
장비영문명	EQPMNT_ENG_NM
장비정보명	EQPMNT_INFO_NM
장애유형명	DSBLTY_TYPE_NM
장애인여부	PWDBS_YN
장치그룹명	DVC_GROUP_NM
재개업일자	ROBIZ_YMD
재검토여부	REVLT_YN
재계산사유	RECAL_RSN
재계산여부	RECAL_YN
재공고여부	RANC_YN
재교부사유	RISU_RSN
재교부일자	RISU_YMD
재난권역명	CLMTY_SAREA_NM
재난유형명	CLMTY_TYPE_NM
재등록여부	RRG_YN
재등록일자	RRG_YMD
재료비단가	MTCO_UNTPRC
재발급사유	RISSU_RSN
재발급여부	RISSU_YN
재발급일자	RISSU_YMD
재발급횟수	RISSU_NMTM
재발송여부	RSND_YN
재발송일자	RSND_YMD
재발행여부	RPBLC_YN
재배종여부	CULTVR_YN
재사용여부	RUSE_YN
재산종류명	PRPT_KND_NM
재설문여부	RSRVY_YN
재설정일자	RSET_YMD
재수신여부	RCAG_YN
재수행일자	REDO_YMD
재승인일자	REAPR_YMD
재시도횟수	RTRY_NMTM
재시험여부	REEXM_YN
재신청여부	RQAG_YN
재심사여부	REXAM_YN
재요청여부	RDMND_YN
재전송여부	RTRSM_YN
재제출사유	RSMN_RSN
재제출여부	RSMN_YN
재직구분명	HDOF_SE_NM
재직상태명	HDOF_STTS_NM
재처리여부	RPRCS_YN
재처리일자	RPRCS_YMD
재처리횟수	RPRCS_NMTM
재평가금액	REVL_AMT
재평가여부	REVL_YN
저감기술명	DCRS_TECH_NM
저감수단명	DCRS_MNS_NM
저류유형명	IMPD_TYPE_NM
저서종여부	BTHSPC_YN
저수위용량	LWLV_CPCT
저작권내용	CPRGT_CN
저작권여부	CPRGT_YN
저작권자명	CPRGTR_NM
저작권제목	CPRGT_TTL
저장경로명	STRG_PATH_NM
저장정보명	STRG_INFO_NM
저장파일명	STRG_FILE_NM
저장폴더명	STRG_FLDR_NM
적용분야명	APLCN_FLD_NM
적용할인율	APLCN_DSCRT
적정재고량	RSNB_INVT_QNT
적합품목수	STBLT_ITEM_CNT
적합항목수	STBLT_ARTCL_CNT
전공분야명	MJR_FLD_NM
전공학과명	MJR_SCSBJT_NM
전광판번호	ELTRD_NO
전기전도도	ELCD
전년강수량	PRYY_RN
전년유입량	PRYY_INFLR
전년저수량	PRYY_IMPND_QNT
전략목표명	STRTG_GOAL_NM
전력사용량	ELPWR_USQTY
전력생산량	ELPWR_OUTTRN
전문가번호	EXPRT_NO
전문분야명	ARSP_NM
전송기관명	TRSM_INST_NM
전송파일명	TRSM_FILE_NM
전시장소명	EXHB_PLC_NM
전월사용량	PRVMM_USQTY
전일보유량	PRVDY_HLD_QNT
전자문서명	ELDOC_NM
전주강우량	LSWEEK_AMRF
전처리사항	PRCSG_MTTR
전체검출수	WHOL_DTCT_CNT
전체기관명	WHOL_INST_NM
전체인원수	WHOL_NOPE
전체조직명	WHOL_OGNZ_NM
전체측정수	WHOL_MSRMT_CNT
전화번호수	TELNO_CNT
전화설치수	TEL_INSTL_CNT
점검기관명	CHCK_INST_NM
점검대상명	CHCK_TRGT_NM
점검업체명	CHCK_BZENTY_NM
점검표번호	CKLST_NO
점검항목명	CHCK_ARTCL_NM
점멸상승량	FLCK_ASND_QNT
접근계정명	ACS_ACNT_NM
접근메뉴명	ACS_MENU_NM
접근허용명	ACS_PRM_NM
접속메뉴명	CNTN_MENU_NM
접속아이디	CNTN_ID
접속자번호	ACSR_NO
접수기관명	RCPT_INST_NM
접수부서명	RCPT_DEPT_NM
접수수수료	RCPT_FEE
접수인원수	RCPT_NOPE
정규직여부	PMEMP_YN
정면사진명	FRNT_PHOTO_NM
정부구매량	GOV_PRCHS_QNT
정비업체명	MTNC_BZENTY_NM
정비회사명	MTNC_CO_NM
정산소득세	CLCLN_INCTX
정산수수료	CLCLN_FEE
정산주민세	CLCLN_RSDTX
정수장코드	FTTP_CD
정원인원수	PSCP_NOPE
정책사업명	PLCY_BIZ_NM
정책인자수	PLCY_FCTR_CNT
제개정일자	ENAM_YMD
제경비비율	OVEXP_RT
제공기관명	PVSN_INST_NM
제공자주소	OFFR_ADDR
제보위치명	TPOF_PSTN_NM
제안기관명	PRP_INST_NM
제어아이디	CNTRL_ID
제외배출량	EXCL_EHQTY
제작국가명	FBCTN_NTN_NM
제작수수료	FBCTN_FEE
제재기관명	RSTRC_INST_NM
제조공정명	MNFTR_PROCS_NM
제조국가명	MNFTR_NTN_NM
제조업여부	MFBIZ_YN
제조업체명	MNFCO_NM
제출기관명	SBMSN_INST_NM
제출부서명	SBMSN_DEPT_NM
제출서류명	SBMSN_DCMNT_NM
제출시분초	SBMSN_HMS
제출아이디	SBMSN_ID
제출자료명	SBMSN_DATA_NM
제출출처명	SBMSN_SRC_NM
제품규격명	PRDCT_SPCFCT_NM
제품단위명	PRDCT_UNIT_NM
제품모델명	PRDCT_MDL_NM
제품사용량	PRDCT_USQTY
제품생산량	PRDCT_OUTTRN
제품주입량	PRDCT_INJCT_QNT
제품회수량	PRDCT_RTRVL_QNT
제휴카드명	AFLT_CARD_NM
조건컬럼명	CND_COL_NM
조달수수료	PRCM_FEE
조류발견수	BIRDS_DSCV_CNT
조사개체수	EXMN_INDV_CNT
조사기관명	EXMN_INST_NM
조사모암명	EXMN_PRRCK_NM
조사분야명	EXMN_FLD_NM
조사업체수	EXMN_BZENTY_CNT
조사위치명	EXMN_PSTN_NM
조사위치수	EXMN_PSTN_CNT
조사주기명	EXMN_CYCL_NM
조사지역명	EXMN_RGN_NM
조사항목명	EXMN_ARTCL_NM
조정위원명	AJMT_MBCMT_NM
조정할당량	AJMT_QT
조직국문명	OGNZ_KRN_NM
조직아이디	OGNZ_ID
조직약어명	OGNZ_ABBR_NM
조직영문명	OGNZ_ENG_NM
조치부서명	ACTN_DEPT_NM
조치항목명	ACTN_ARTCL_NM
조회정보명	INQ_INFO_NM
조회조건명	INQ_CND_NM
조회컬럼명	INQ_COL_NM
조회항목명	INQ_ARTCL_NM
졸업학교명	GRDTN_SCHL_NM
종료시도명	END_CTPV_NM
종명명연도	SPECS_NMNG_YR
종명명자명	SPECS_NMCLTR_NM
종목약어명	CLS_ABBR_NM
종목영문명	CLS_ENG_NM
종목한글명	CLS_KORN_NM
종분류번호	SPECS_CLSF_NO
좋아요점수	LIKES_SCR
좌측사진명	LSD_PHOTO_NM
주건축물수	MBLD_CNT
주관기관명	SPRVSN_INST_NM
주관부서명	SPRVSN_DEPT_NM
주관부처명	SPRVSN_MAO_NM
주관식내용	SBJV_CN
주관식여부	SBJV_YN
주담당자명	MPIC_NM
주메뉴번호	MAIN_MENU_NO
주무관청명	CMPADG_NM
주문기관명	ORDR_INST_NM
주생산품명	MPRD_NM
주식종목명	STCK_CLS_NM
주요메뉴명	MAIN_MENU_NM
주요사업명	MAIN_BIZ_NM
주요성분명	MAIN_IGRD_NM
주요시설명	MAIN_FCLT_NM
주요업무명	MAIN_TASK_NM
주요제품명	MAIN_PRDCT_NM
주제영역명	TPC_RLM_NM
주차장면적	PKLTAR
주최기관명	HST_INST_NM
주화면여부	MAIN_SCRN_YN
중개수수료	MDT_FEE
중권역면적	MSIRB_AREA
중권역여부	MSIRB_YN
중권역코드	MSIRB_CD
중문코드명	CHNS_CD_NM
중소기업수	SME_CNT
중하층운량	LMCL_CLDQ
즐겨찾기명	BKMK_NM
증가배출량	INCRS_EHQTY
증기사용량	STM_USQTY
증명서번호	PRDOC_NO
지급수수료	GIVE_FEE
지급은행명	GIVE_BANK_NM
지급인원수	GIVE_NOPE
지도교수명	ACAVSR_NM
지도아이디	MAP_ID
지도파일명	MAP_FILE_NM
지로수수료	GIRO_FEE
지방비금액	LCEP_AMT
지방소득세	LCL_INCTX
지방수정명	LCL_MDFCN_NM
지식아이디	KNWL_ID
지역본부명	RGN_HQ_NM
지역아이디	RGN_ID
지역코드명	RGN_CD_NM
지원기관명	SPRT_INST_NM
지원분야명	SPRT_FLD_NM
지원사업명	SPRT_BIZ_NM
지원인원수	SPRT_NOPE
지정기관명	DSGN_INST_NM
지정업종명	DSGN_TPBIZ_NM
지정현황명	DSGN_PRCND_NM
지출세목명	EXPND_TXITM_NM
지침고시명	NDL_ANCMNT_NM
지침관리명	NDL_MNG_NM
직급보조비	JBGD_SBSDY
직급아이디	JBGD_ID
직급약어명	JBGD_ABBR_NM
직무분야명	DUTY_FLD_NM
직원아이디	EMP_ID
직원영문명	EMP_ENG_NM
직원직위명	EMP_JBPS_NM
직위영문명	JBPS_ENG_NM
직위직급명	JBPS_JBGD_NM
직인파일명	OFSL_FILE_NM
직장구분명	WRC_SE_NM
직접노무비	DRCT_LBCO
직접배출량	DRCT_EHQTY
직접인건비	DRCT_LBRCO
진단기관명	DGNS_INST_NM
진료과목명	MDEXM_SBJCT_NM
진료기관명	MDEXM_INST_NM
진입로여부	ACCRD_YN
진행계획명	PRGRS_PLAN_NM
질문검색수	QSTN_SRCH_CNT
질문아이디	QSTN_ID
질문주제명	QSTN_TPC_NM
집전화번호	HS_TELNO
집합건물명	CNBD_NM
징수소득세	CLCTN_INCTX
쪽게시물수	PAGE_PST_CNT
차감배출량	SBTR_EHQTY
차량모델명	VHCL_MDL_NM
차량배기량	VHCL_DSVLM
차량색상명	VHCL_COLR_NM
차량용도명	VHCL_USG_NM
차량종류명	VHCL_KND_NM
차량차종명	VHCL_CARMDL_NM
참고문헌명	REF_LTRT_NM
참새피해량	SPRW_DAM_QNT
참석기관명	ATND_INST_NM
참석인원수	ATND_NOPE
참여기관명	PTCP_INST_NM
참여기업명	PTCP_ENT_NM
참여기업수	PTCP_ENT_CNT
참여사업명	PTCP_BIZ_NM
참여인원명	PTCP_PEPL_NM
참여인원수	PTCP_NOPE
참여제한수	PTCP_LMT_CNT
채권자주소	CRDTR_ADDR
채무자주소	DBTR_ADDR
채수시료명	WTSMP_SPCM_NM
채용인원수	RCRUT_NOPE
채집지고도	CLTNG_ALTD
책임자여부	RBPRSN_YN
처리기간수	PRCS_PRD_CNT
처리기관명	PRCS_INST_NM
처리단계명	PRCS_STP_NM
처리부서명	PRCS_DEPT_NM
처리상태명	PRCS_STTS_NM
처리시설명	PRCS_FCLT_NM
처리아이디	PRCS_ID
처리업체명	PRCS_BZENTY_NM
처리예상량	PRCS_EXPC_QNT
처리유형명	PRCS_TYPE_NM
처분기관명	DSPS_INST_NM
처분유형명	DSPS_TYPE_NM
첨부문서명	ATCH_DOC_NM
첨부분류명	ATCH_CLSF_NM
첨부자료명	ATCH_DATA_NM
첨부파일명	ATCH_FILE_NM
첨부파일수	ATCH_FILE_CNT
청구기관명	CLM_INST_NM
청구인상호	CLMT_CONM
청구인주소	CLMT_ADDR
체결지역명	CNCLS_RGN_NM
체납개월수	NPMNT_MCNT
체납자주소	DFLTR_ADDR
체크컬럼수	CHCK_COL_CNT
초과감축량	EXCS_CTBK_QNT
초과달성량	EXCS_ACHV_QNT
초과배출량	EXCS_EHQTY
초기화여부	INIT_YN
초등학교명	ELSCHL_NM
초지변화량	GRSLND_CHQTY
총가입자수	TOT_SBSR_CNT
총거래건수	TDLNG_NOCS
총거래금액	TDLNG_AMT
총결제금액	TSTLM_AMT
총계약금액	TCTRT_AMT
총공급가액	TSPLY_EQVL
총공사금액	TCSTRN_AMT
총교육시간	TTRHR
총구매금액	TPRCH_AMT
총근로자수	TNOWK
총근무시간	TWKHR
총근무일수	TWRK_DAY_CNT
총급여금액	TSL_AMT
총납부금액	TPY_AMT
총녹지면적	TOT_GRNZN_AREA
총대출금액	TLOAN_AMT
총등록건수	TRGCNT
총매출금액	TSLS_AMT
총방문자수	TVSTR_CNT
총배당금액	TDVD_AMT
총배정금액	TALTM_AMT
총보증금액	TGRNT_AMT
총부채금액	TLBLT_AMT
총사업비용	TPCO
총사용금액	TUSE_AMT
총상환금액	TRPY_AMT
총소요시간	TREQ_HR
총수납건수	TPYRC_NOCS
총수납금액	TPYRC_AMT
총수입금액	TICM_AMT
총승인금액	TAPRV_AMT
총신청건수	TRQST_NOCS
총신청금액	TRQST_AMT
총여신금액	TCRDT_AMT
총연구금액	TOT_RSCH_AMT
총예산금액	TBGT_AMT
총자산금액	TAST_AMT
총저수용량	TOT_IMPND_CPCT
총조사종수	TOT_EXMN_SPECS_CNT
총주행거리	TDRVG_DSTNC
총지급건수	TPMT_NOCS
총지급금액	TPMT_AMT
총지출금액	TEXPND_AMT
총차입금액	TBRW_AMT
총채권금액	TRCVB_AMT
총채무금액	TDBT_AMT
총처리건수	TPRCS_NOCS
총청구건수	TCLM_NOCS
총청구금액	TCLM_AMT
총출현종수	TOT_APRC_SPECS_CNT
총투자금액	TIVST_AMT
총평가점수	TEVL_SCR
총할당수량	TOT_ALOT_QTY
총환수금액	TRDM_AMT
총회수금액	TRTRVL_AMT
최대강우량	MAX_AMRF
최대발전량	MAX_ETGT_QNT
최대방류량	MAX_OTFL
최대보관량	MAX_KPNG_QNT
최대선택수	MAX_CHC_CNT
최대유입량	MAX_INFLR
최상위여부	HGHRK_YN
최소선택수	MIN_CHC_CNT
최종등급명	LAST_GRD_NM
최종업체명	LAST_BZENTY_NM
최종인정량	LAST_RCG_QNT
최종전공명	LAST_MJR_NM
최종직위명	LAST_JBPS_NM
최종학력명	LAST_ACBG_NM
최종학위명	LAST_DGR_NM
최종할당량	LAST_QT
최하위여부	LWTRK_YN
추가인원수	ADD_NOPE
추가할당량	ADD_QT
추천기관명	RCMDTN_INST_NM
출고총건수	SPMT_TNOCS
출금은행명	TKMNY_BANK_NM
출발지주소	DPPL_ADDR
출신학교명	NATV_SCHL_NM
출연기관명	CTRB_INST_NM
출원인원명	APPL_PEPL_NM
출입기관명	ENEX_INST_NM
출입증번호	ADPS_NO
출장국가명	BZTRP_NTN_NM
출장소여부	LCOFC_YN
출장인원수	BZTRP_NOPE
출제도서명	STXQ_BOOK_NM
출제위원명	STXQ_MBCMT_NM
출처부서명	SRC_DEPT_NM
충당금여부	APAMT_YN
취급기관명	HNDL_INST_NM
취급지점명	HNDL_BRNCH_NM
취급품목명	HNDL_ITEM_NM
취소아이디	RTRCN_ID
취수장코드	ITKPL_CD
측정기기명	MSRMT_ISTR_NM
측정기호명	MSRMT_SMBL_NM
측정단면적	MSRMT_CRSA
측정단위명	MSRMT_UNIT_NM
측정방식명	MSRMT_MTH_NM
측정분자량	MSRMT_MWT
측정소경도	MSRSTN_LOT
측정소설명	MSRSTN_EXPLN
측정소위도	MSRSTN_LAT
측정소주소	MSRSTN_ADDR
측정소코드	MSRSTN_CD
측정위치명	MSRMT_PSTN_NM
측정위치수	MSRMT_PSTN_CNT
측정자료수	MSRMT_DATA_CNT
측정장비명	MSRMT_EQPMNT_NM
측정지점명	MSRMT_BRNCH_NM
측정항목명	MSRMT_ARTCL_NM
층구분코드	FLR_SE_CD
층일련번호	FLR_SN
친환경여부	ECFRD_YN
카드수수료	CARD_FEE
캠페인내용	CMPGN_CN
캠페인번호	CMPGN_NO
커뮤니티명	CMNTY_NM
컨설턴트명	CNSLTT_NM
컨설팅내용	CNSLT_CN
컨설팅번호	CNSLT_NO
컨설팅일자	CNSLT_YMD
컬럼아이디	COL_ID
컬럼영문명	COL_ENG_NM
컬럼위치명	COL_PSTN_NM
컬럼유형명	COL_TYPE_NM
코드값의미	CD_VL_MNNG
코드구분명	CD_SE_NM
코드국문명	CD_KRN_NM
코드그룹명	CD_GROUP_NM
코드분류명	CD_CLSF_NM
코드아이디	CD_ID
코드약어명	CD_ABBR_NM
코드영문명	CD_ENG_NM
코드유형명	CD_TYPE_NM
코드종류명	CD_KND_NM
코드중문명	CD_CHNS_NM
콘텐츠내용	CONTS_CN
콘텐츠번호	CONTS_NO
콘텐츠설명	CONTS_EXPLN
콘텐츠일시	CONTS_DT
콘텐츠제목	CONTS_TTL
퀵메뉴여부	QMENU_YN
키워드내용	KYWD_CN
탄소점수량	CRBN_SCR_QNT
탑승인원수	BRDG_NOPE
탑승정원수	BRDG_PSCP_CNT
태양광용량	SLRLG_CPCT
태양열용량	SLR_HEAT_CPCT
태풍국문명	TYPHN_KRN_NM
태풍영문명	TYPHN_ENG_NM
탭메뉴내용	TAB_MENU_CN
탭사용여부	TAB_USE_YN
테이블설명	TBL_EXPLN
토양배출량	SOIL_EHQTY
토요일여부	SAT_YN
토지지목명	LAND_LDCG_NM
통계구분명	STATS_SE_NM
통계분류명	STATS_CLSF_NM
통계아이디	STATS_ID
통관세관명	CSCL_CSTMHS_NM
통관포장수	CSCL_PCKGN_CNT
통보그룹명	NTFCTN_GROUP_NM
통보기관명	NTFCTN_INST_NM
통보설정명	NTFCTN_STNG_NM
통보업체수	NTFCTN_BZENTY_CNT
통합분류명	INTG_CLSF_NM
통합상세명	INTG_DTL_NM
통합지도명	INTG_MAP_NM
통합코드명	INTG_CD_NM
퇴적물여부	SDM_YN
퇴직소득세	RTRM_INCTX
투입인원수	INPUT_NOPE
투자기관명	IVST_INST_NM
투표참여수	VOTE_PTCP_CNT
특수지코드	SPAREA_CD
특수차량수	SPCL_VHCL_CNT
팀장부서명	TMLDR_DEPT_NM
팀장아이디	TMLDR_ID
파견부서명	SND_DEPT_NM
파견소속명	SND_OGDP_NM
파견인원수	SND_NOPE
파일가상명	FILE_VR_NM
파일경로명	FILE_PATH_NM
파일관리명	FILE_MNG_NM
파일구분명	FILE_SE_NM
파일물리명	FILE_PHYS_NM
파일시작명	FILE_BGNG_NM
파일실제명	FILE_ACTL_NM
파일아이디	FILE_ID
파일유형명	FILE_TYPE_NM
파일종류명	FILE_KND_NM
판매관리비	NTSL_MNCO
판매수수료	NTSL_FEE
판매업체명	NTSL_BZENTY_NM
팝업아이디	POPUP_ID
패키지수량	PKG_QTY
팩스번호수	FXNO_CNT
평가결과명	EVL_RSLT_NM
평가그룹명	EVL_GROUP_NM
평가기관명	EVL_INST_NM
평가기준명	EVL_CRTR_NM
평가단위명	EVL_UNIT_NM
평가대상명	EVL_TRGT_NM
평가방법명	EVL_MTHD_NM
평가배출량	EVL_EHQTY
평가사업명	EVL_BIZ_NM
평가아이디	EVL_ID
평가위원명	EVL_MBCMT_NM
평가위원수	EVL_MBCMT_CNT
평가자설명	EVLTR_EXPLN
평가장소명	EVL_PLC_NM
평가조직명	EVL_OGNZ_NM
평가지표명	EVL_IDCT_NM
평가직원수	EVL_EMP_CNT
평가항목명	EVL_ARTCL_NM
평균배출량	AVG_EHQTY
평균소비량	AVG_CNSM_QNT
평균조회수	AVG_INQ_CNT
평균함유량	AVG_CTQTY
폐기물용량	WST_CPCT
폐수이동량	WWT_MVMN_QNT
포도피해량	GRAP_DAM_QNT
포상기관명	RWRD_INST_NM
포상종류명	RWRD_KND_NM
포집산소량	SPCR_OXYG_QNT
폴더경로명	FLDR_PATH_NM
폴더정보명	FLDR_INFO_NM
표준아이디	STD_ID
표준유역명	STD_BSN_NM
표준항목명	STD_ARTCL_NM
품목규격명	ITEM_SPCFCT_NM
품목분류명	ITEM_CLSF_NM
품목영문명	ITEM_ENG_NM
품종국문명	VRTY_KRN_NM
품종영문명	VRTY_ENG_NM
풍부도지수	ABDNC_IDX
풍속단위명	WSPD_UNIT_NM
프로그램명	PRGRM_NM
프로세스명	PROCS_NM
프로시저명	PRCDR_NM
프로토콜명	PRTCL_NM
플래그내용	FLG_CN
피교육자명	EDUCTE_NM
피보험자명	ISRT_NM
피보험자수	ISRT_CNT
피승계인명	SCSR_NM
피해자주소	VCTM_ADDR
필지아이디	LTLND_ID
하도급금액	SBCTR_AMT
하드웨어명	HW_NM
하수도요금	DRNG_CRG
하수발생량	SWAGE_AMTGNR
하수처리량	SWTRMT_QNT
하위메뉴명	LWR_MENU_NM
하위법령명	LWGSLT_NM
하위사업명	LWR_BIZ_NM
하위코드명	LWR_CD_NM
하천구분명	RVR_SE_NM
하천레벨명	RVR_LVL_NM
하천분류명	RVR_CLSF_NM
학교교사명	SCHL_TCH_NM
학교영문명	SCHL_ENG_NM
학교코드명	SCHL_CD_NM
학교학원명	SCHL_PEIT_NM
학력구분명	ACBG_SE_NM
학력코드명	ACBG_CD_NM
학명분류명	STNM_CLSF_NM
학명영문명	STNM_ENG_NM
학명전체명	STNM_WHOL_NM
학명한글명	STNM_KORN_NM
학술대회명	SMPSM_NM
학술지제목	ACJRNL_TTL
학습과제명	LRN_ASMT_NM
학습자료명	LRN_DATA_NM
한글건물명	KORN_BLDG_NM
한글도로명	KORN_ROAD_NM
한글약어명	KORN_ABBR_NM
한글약정명	KORN_STPL_NM
한글컬럼명	KORN_COL_NM
한글코드명	KORN_CD_NM
한글파일명	KORN_FILE_NM
한글표기명	KORN_MARK_NM
한부모여부	SGPRN_YN
할당량비율	QT_RT
할당배출량	ALOT_EHQTY
할당유형명	ALOT_TYPE_NM
할당통보량	ALOT_NTFCTN_QNT
할부개월수	IS_MCNT
합계수수료	SUM_FEE
합계인원수	SUM_NOPE
합산컬럼명	ADUP_COL_NM
항공기번호	ARPLN_NO
항목구분명	ARTCL_SE_NM
항목국문명	ARTCL_KRN_NM
항목그룹명	ARTCL_GROUP_NM
항목기호명	ARTCL_SMBL_NM
항목단위명	ARTCL_UNIT_NM
항목변수명	ARTCL_VRBL_NM
항목분류명	ARTCL_CLSF_NM
항목아이디	ARTCL_ID
항목약어명	ARTCL_ABBR_NM
항목영문명	ARTCL_ENG_NM
항목출력명	ARTCL_OTPT_NM
항목컬럼명	ARTCL_COL_NM
항목표기명	ARTCL_MARK_NM
해당아이디	RLVT_ID
해수면고도	SSRFC_ALTD
해시태그명	HSTG_NM
해외교육명	OVSEA_EDU_NM
해외출장명	OVSEA_BZTRP_NM
행사장소명	EVNT_PLC_NM
행위아이디	ACTN_ID
